name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2020-01-01,12.3,-0.6,5.2,12.3,-0.6,5,-0.2,69.5,0,0,0,,0,0,8.6,5.3,51.2,1034.1,15,10.1,106,9.1,5,,2020-01-01T08:37:56,2020-01-01T17:58:24,0.17,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08213099999,08219099999,08222099999,08223099999,08215099999,08220099999"
madrid,2020-01-02,11.9,-1.7,5.1,11.9,-1.7,5,-0.6,68,0,0,0,,0,0,11.1,5.9,88.7,1033.1,24.9,10,100.3,8.7,4,,2020-01-02T08:38:04,2020-01-02T17:59:14,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-03,6,-0.2,3.3,6,-1.8,3.1,0.4,81.3,0,0,0,,0,0,11.1,7.7,84.8,1035.1,81,5.4,108.8,9.3,3,,2020-01-03T08:38:08,2020-01-03T18:00:06,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-04,11.8,-0.7,5.8,11.8,-0.7,4.3,-0.9,63.2,0,0,0,,0,0,33.7,17.3,42.7,1035,18.1,13.8,110.3,9.5,5,,2020-01-04T08:38:11,2020-01-04T18:00:59,0.31,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-05,12.7,-0.1,5.5,12.7,-2.1,4.7,-2.1,59.5,0,0,0,,0,0,18.5,10.1,48.5,1032.1,0,19.9,109.5,9.6,5,,2020-01-05T08:38:11,2020-01-05T18:01:53,0.36,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-06,14.4,-1.4,5.6,14.4,-3.7,5.2,-1.4,62,0,0,0,,0,0,11.4,7.9,59.9,1031.1,5.5,18.2,109.5,9.4,5,,2020-01-06T08:38:10,2020-01-06T18:02:49,0.4,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-07,14.3,-1.4,5.6,14.3,-2.6,5.5,-1.9,60.5,0,0,0,,0,0,10.4,6,84.2,1033.1,11.1,17.5,108.4,9.3,5,,2020-01-07T08:38:06,2020-01-07T18:03:46,0.44,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-08,15.1,-0.8,6.7,15.1,-2.7,6.6,-2.6,54.5,0,0,0,,0,0,8.7,5.4,113,1031.1,26,19.4,106.1,9.2,4,,2020-01-08T08:37:59,2020-01-08T18:04:45,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-09,12.7,1,7.2,12.7,-1.2,7,-0.2,60.2,0,0,0,,0,0,13.6,13.1,287.8,1028.5,11.3,19,103.7,9,4,,2020-01-09T08:37:51,2020-01-09T18:05:45,0.49,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-10,11.5,2.3,6.9,11.5,1.6,5.8,-1.7,55.9,0,0,0,,0,0,34.1,17.7,16.4,1029.1,18.1,15.7,106.9,9.2,5,,2020-01-10T08:37:40,2020-01-10T18:06:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
