name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
valencia,2020-01-01,14,2.5,7.4,14,0.6,6.8,5.4,88.3,0,0,0,,0,0,12.2,8.8,286.2,1032.4,50,9.1,104.4,9.2,5,,2020-01-01T08:21:50,2020-01-01T17:47:59,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-02,14.5,4.4,8.5,14.5,2.8,7.9,5.8,84.5,0,0,0,,0,0,25.9,9.9,270.1,1031.9,47.5,9.2,119.1,10.3,5,,2020-01-02T08:21:58,2020-01-02T17:48:48,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-03,13,1.4,6.8,13,0.3,6.3,4.9,88.7,0,0,0,,0,0,19.8,10.6,328,1031.5,51.4,7.6,108.1,9.3,5,,2020-01-03T08:22:03,2020-01-03T17:49:39,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-04,16.3,2.7,7.9,16.3,0.6,6.9,4.2,80.3,0,0,0,,0,0,18.7,13.3,300.3,1032.8,14.5,10.2,122.4,10.6,5,,2020-01-04T08:22:07,2020-01-04T17:50:31,0.31,Clear,Clear conditions throughout the day.,clear-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-05,19,1.5,8.2,19,-0.3,7.3,3.4,75.9,0,0,0,,0,0,14,10.5,266.4,1029.3,0,12.3,126.3,11,5,,2020-01-05T08:22:08,2020-01-05T17:51:24,0.36,Clear,Clear conditions throughout the day.,clear-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-06,15.2,2.4,7.7,15.2,0.4,6.6,4.2,80.1,0,0,0,,0,0,13.3,10,308.1,1029.7,8.8,11.5,124.8,10.8,5,,2020-01-06T08:22:08,2020-01-06T17:52:19,0.4,Clear,Clear conditions throughout the day.,clear-day,"08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-07,16,1.5,7.8,16,-0.5,7.2,3.9,78.7,0,0,0,,0,0,15.8,9.6,280.6,1030.7,31,11.2,123.5,10.7,5,,2020-01-07T08:22:05,2020-01-07T17:53:15,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-08,15.5,0.4,8.1,15.5,0.4,8,5,80.8,0,0,0,,0,0,19.8,9.4,267.7,1030.4,42.2,10,72.5,6.3,4,,2020-01-08T08:22:00,2020-01-08T17:54:12,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-09,15.2,3.5,9.6,15.2,1.5,9.3,5.4,76,0,0,0,,0,0,14.4,11.1,230.8,1028,25,10.3,124.6,10.7,5,,2020-01-09T08:21:52,2020-01-09T17:55:11,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-10,16.1,4.7,10.6,16.1,3.3,10.4,4.5,68.2,0.006,100,4.17,rain,0,0,37.1,21.7,357.4,1025.7,36.8,12,111.2,9.6,5,,2020-01-10T08:21:43,2020-01-10T17:56:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-11,16,5.3,9.5,16,2.5,9.3,2.1,61.8,0,0,0,,0,0,11.5,12.8,237.5,1030.5,11.8,11.9,131.3,11.3,5,,2020-01-11T08:21:31,2020-01-11T17:57:11,0.51,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-12,14.9,1.4,7.9,14.9,-1,7.4,1.6,65.8,0,0,0,,0,0,15.1,8.9,257,1030.4,14.4,12.8,134.5,11.8,5,,2020-01-12T08:21:17,2020-01-12T17:58:13,0.52,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-13,16.7,0.2,8,16.7,-2.4,7.7,0.4,61.4,0,0,0,,0,0,14.8,8.8,252.8,1025.9,41.5,11.5,124.5,10.7,5,,2020-01-13T08:21:01,2020-01-13T17:59:16,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-14,15.7,0.5,8,15.7,-1.2,7.7,-0.3,59.3,0,0,0,,0,0,24.1,12.3,282.2,1022.2,19.6,12.2,134.5,11.7,5,,2020-01-14T08:20:43,2020-01-14T18:00:19,0.59,Clear,Clear conditions throughout the day.,clear-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-15,19.3,1.6,9.3,19.3,-1,9.1,2.9,66.3,0,0,0,,0,0,18.7,13.2,270.4,1024.8,55,11.6,119.1,10.1,5,,2020-01-15T08:20:23,2020-01-15T18:01:23,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-16,18.5,4.7,10.4,18.5,2.9,10.1,5.4,73,0,0,0,,0,0,13.3,10.5,252.6,1027.7,28.1,12.3,130.4,11.4,5,,2020-01-16T08:20:01,2020-01-16T18:02:29,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-17,18.5,7.9,13.2,18.5,5.8,13,3.3,52.8,0,0,0,,0,0,33.4,24.9,255.7,1028.7,43,12.4,106.4,9.1,5,,2020-01-17T08:19:36,2020-01-17T18:03:35,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-18,18.1,7.1,12.2,18.1,6.2,12.1,4.9,61.7,0,0,0,,0,0,38.5,22.9,244.3,1027.6,65.6,13.4,99,8.5,6,,2020-01-18T08:19:10,2020-01-18T18:04:41,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-19,14.1,6.4,9.5,14.1,2.9,7.7,6.2,80.2,28.305,100,75,rain,0,0,64.6,29.2,9.8,1018.6,51.2,10.1,15.2,1.3,1,,2020-01-19T08:18:41,2020-01-19T18:05:48,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-20,9.1,5.2,7,6.4,1.1,2.8,3.7,80.1,36.878,100,95.83,rain,0,0,90.2,51,15.2,1020.6,50.1,10.3,69.9,6,4,,2020-01-20T08:18:11,2020-01-20T18:06:56,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-21,12,7.6,9.9,12,4.1,8.5,8.9,93.2,67.752,100,87.5,rain,0,0,60.6,30.1,16.6,1016.5,49,8.2,12.5,1,1,,2020-01-21T08:17:38,2020-01-21T18:08:04,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
valencia,2020-01-22,14,7.7,10.6,14,6.6,10.4,9,90.4,11.52,100,66.67,rain,0,0,28,18,357.8,1019.1,47.6,9.5,34.5,2.9,2,,2020-01-22T08:17:03,2020-01-22T18:09:13,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08285099999,08284099999,LEVC,F1683,LEBT,08014399999,08286099999,08290099999"
