name,datetime,temp,humidity,windspeed
madrid,2020-01-01,5.2,69.5,5.3
madrid,2020-01-02,5.1,68.0,5.9
madrid,2020-01-03,3.3,81.3,7.7
madrid,2020-01-04,5.8,63.2,17.3
madrid,2020-01-05,5.5,59.5,10.1
madrid,2020-01-06,5.6,62.0,7.9
madrid,2020-01-07,5.6,60.5,6.0
madrid,2020-01-08,6.7,54.5,5.4
madrid,2020-01-09,7.2,60.2,13.1
madrid,2020-01-10,6.9,55.9,17.7
madrid,2020-01-11,5.2,55.1,10.8
madrid,2020-01-12,3.1,58.6,7.3
madrid,2020-01-13,2.5,68.1,12.1
madrid,2020-01-14,3.0,69.8,10.9
madrid,2020-01-15,5.7,75.2,7.8
madrid,2020-01-16,8.8,73.0,8.6
madrid,2020-01-17,8.3,70.0,16.2
madrid,2020-01-18,6.7,83.3,11.2
madrid,2020-01-19,6.3,53.6,33.1
madrid,2020-01-20,3.9,34.5,28.0
madrid,2020-01-21,5.0,62.1,28.5
madrid,2020-01-22,6.3,69.2,21.2
madrid,2020-01-23,6.2,69.7,14.0
madrid,2020-01-24,7.1,80.2,11.1
madrid,2020-01-25,7.2,86.1,13.9
madrid,2020-01-26,6.2,78.9,16.8
madrid,2020-01-27,5.5,82.4,20.6
madrid,2020-01-28,10.1,83.5,29.7
madrid,2020-01-29,11.0,80.6,21.4
madrid,2020-01-30,9.7,79.3,18.6
madrid,2020-01-31,11.2,79.3,21.5
madrid,2020-02-01,13.0,78.9,24.3
madrid,2020-02-02,11.3,82.7,4.3
madrid,2020-02-03,11.7,73.3,8.9
madrid,2020-02-04,10.6,68.2,16.2
madrid,2020-02-05,8.7,48.9,14.7
madrid,2020-02-06,7.0,70.2,9.8
madrid,2020-02-07,7.8,72.1,7.1
madrid,2020-02-08,7.6,80.4,9.2
madrid,2020-02-09,8.6,81.2,9.6
madrid,2020-02-10,10.0,79.1,7.7
madrid,2020-02-11,9.3,80.2,6.0
madrid,2020-02-12,10.1,82.5,8.0
madrid,2020-02-13,10.8,75.9,16.4
madrid,2020-02-14,8.9,77.1,7.2
madrid,2020-02-15,9.2,68.3,11.1
madrid,2020-02-16,10.4,64.8,17.5
madrid,2020-02-17,9.6,78.7,9.7
madrid,2020-02-18,9.0,60.9,15.4
madrid,2020-02-19,8.5,50.9,11.8
madrid,2020-02-20,9.0,50.1,7.5
madrid,2020-02-21,11.3,39.5,12.9
madrid,2020-02-22,11.7,42.1,7.1
madrid,2020-02-23,12.9,38.2,10.8
madrid,2020-02-24,12.2,43.2,11.0
madrid,2020-02-25,10.9,50.1,22.0
madrid,2020-02-26,10.4,49.1,20.3
madrid,2020-02-27,11.6,48.4,24.1
madrid,2020-02-28,11.9,47.0,7.6
madrid,2020-02-29,10.1,65.1,30.1
madrid,2020-03-01,10.4,74.5,34.9
madrid,2020-03-02,9.9,58.7,55.6
madrid,2020-03-03,9.3,65.7,30.4
madrid,2020-03-04,13.5,62.7,24.4
madrid,2020-03-05,11.8,62.4,34.2
madrid,2020-03-06,8.8,44.6,38.3
madrid,2020-03-07,8.8,47.5,16.0
madrid,2020-03-08,9.2,55.7,17.5
madrid,2020-03-09,11.6,46.8,17.3
madrid,2020-03-10,13.4,48.3,14.6
madrid,2020-03-11,14.9,61.4,8.5
madrid,2020-03-12,16.0,60.4,10.6
madrid,2020-03-13,15.4,61.2,11.9
madrid,2020-03-14,14.8,61.0,9.1
madrid,2020-03-15,12.7,65.1,24.1
madrid,2020-03-16,6.3,72.7,14.4
madrid,2020-03-17,9.7,73.5,20.9
madrid,2020-03-18,12.4,63.2,12.2
madrid,2020-03-19,12.4,59.0,12.9
madrid,2020-03-20,11.0,63.2,14.1
madrid,2020-03-21,8.6,77.8,11.1
madrid,2020-03-22,9.0,72.4,14.0
madrid,2020-03-23,9.5,78.4,11.9
madrid,2020-03-24,11.4,62.6,14.6
madrid,2020-03-25,11.1,58.3,14.6
madrid,2020-03-26,9.7,42.6,15.5
madrid,2020-03-27,6.2,58.8,16.9
madrid,2020-03-28,8.6,51.7,15.7
madrid,2020-03-29,11.6,45.8,12.2
madrid,2020-03-30,6.1,62.2,20.1
madrid,2020-03-31,4.2,91.0,20.2
madrid,2020-04-01,9.3,74.4,14.9
madrid,2020-04-02,9.3,61.3,16.3
madrid,2020-04-03,10.9,50.1,8.6
