datetime,tempMin,tempMax
2020-01,2.5,11.2
2020-02,7.0,13.0
2020-03,4.2,16.0
2020-04,9.3,16.7
2020-05,12.2,25.0
2020-06,15.3,29.5
2020-07,24.3,31.0
2020-08,17.1,30.7
2020-09,14.5,25.6
2020-10,8.8,18.5
2020-11,7.3,14.4
2020-12,2.3,13.3
2021-01,-3.5,13.3
2021-02,7.2,12.4
2021-03,6.8,16.1
2021-04,9.9,16.7
2021-05,11.7,24.4
2021-06,17.1,26.8
2021-07,19.8,30.1
2021-08,20.3,32.6
2021-09,16.2,25.9
2021-10,12.7,18.8
2021-11,4.7,14.5
2021-12,5.3,12.2
2022-01,3.3,11.4
2022-02,7.2,12.4
2022-03,7.0,13.6
2022-04,5.6,18.1
2022-05,12.9,26.0
2022-06,19.1,31.2
2022-07,23.9,33.5
2022-08,21.3,30.9
2022-09,14.3,26.4
2022-10,13.5,20.9
2022-11,6.2,15.3
2022-12,4.8,13.8
2023-01,9.5,9.5
