name,datetime,temp,humidity,windspeed
valencia,2020-01-01,7.4,88.3,8.8
valencia,2020-01-02,8.5,84.5,9.9
valencia,2020-01-03,6.8,88.7,10.6
valencia,2020-01-04,7.9,80.3,13.3
valencia,2020-01-05,8.2,75.9,10.5
valencia,2020-01-06,7.7,80.1,10.0
valencia,2020-01-07,7.8,78.7,9.6
valencia,2020-01-08,8.1,80.8,9.4
valencia,2020-01-09,9.6,76.0,11.1
valencia,2020-01-10,10.6,68.2,21.7
valencia,2020-01-11,9.5,61.8,12.8
valencia,2020-01-12,7.9,65.8,8.9
valencia,2020-01-13,8.0,61.4,8.8
valencia,2020-01-14,8.0,59.3,12.3
valencia,2020-01-15,9.3,66.3,13.2
valencia,2020-01-16,10.4,73.0,10.5
valencia,2020-01-17,13.2,52.8,24.9
valencia,2020-01-18,12.2,61.7,22.9
valencia,2020-01-19,9.5,80.2,29.2
valencia,2020-01-20,7.0,80.1,51.0
valencia,2020-01-21,9.9,93.2,30.1
valencia,2020-01-22,10.6,90.4,18.0
valencia,2020-01-23,9.7,85.1,10.5
valencia,2020-01-24,11.4,85.1,6.9
valencia,2020-01-25,11.8,89.7,12.9
valencia,2020-01-26,12.3,77.6,12.5
valencia,2020-01-27,12.0,63.0,32.6
valencia,2020-01-28,15.5,64.6,28.5
valencia,2020-01-29,16.8,64.1,21.3
valencia,2020-01-30,16.5,57.9,21.3
valencia,2020-01-31,17.2,60.3,21.0
valencia,2020-02-01,18.5,61.2,17.6
valencia,2020-02-02,17.7,64.2,13.2
valencia,2020-02-03,17.0,65.8,9.8
valencia,2020-02-04,17.7,52.1,12.3
valencia,2020-02-05,12.9,70.2,12.7
valencia,2020-02-06,11.4,76.1,12.3
valencia,2020-02-07,10.9,81.0,7.4
valencia,2020-02-08,10.9,79.6,14.5
valencia,2020-02-09,11.9,80.0,12.1
valencia,2020-02-10,16.5,61.5,19.3
valencia,2020-02-11,16.7,63.0,12.3
valencia,2020-02-12,14.0,78.5,18.5
valencia,2020-02-13,13.9,81.1,12.1
valencia,2020-02-14,14.6,67.0,16.6
valencia,2020-02-15,12.6,77.3,14.2
valencia,2020-02-16,12.2,87.3,10.3
valencia,2020-02-17,13.1,83.7,23.5
valencia,2020-02-18,13.0,88.7,12.1
valencia,2020-02-19,13.0,84.1,15.7
valencia,2020-02-20,11.6,78.8,17.2
valencia,2020-02-21,11.3,76.6,12.3
valencia,2020-02-22,11.9,73.0,11.7
valencia,2020-02-23,12.1,68.2,12.4
valencia,2020-02-24,13.3,60.8,13.5
valencia,2020-02-25,15.7,47.8,22.3
valencia,2020-02-26,15.1,50.6,11.1
valencia,2020-02-27,15.8,44.5,24.5
valencia,2020-02-28,16.2,48.3,19.5
valencia,2020-02-29,16.5,51.4,39.2
valencia,2020-03-01,18.2,47.3,32.4
valencia,2020-03-02,16.9,45.1,52.5
valencia,2020-03-03,15.1,46.0,40.1
valencia,2020-03-04,19.5,51.6,25.2
valencia,2020-03-05,18.4,47.3,41.6
valencia,2020-03-06,14.7,38.3,37.1
valencia,2020-03-07,13.6,41.8,27.9
valencia,2020-03-08,14.0,55.2,22.0
valencia,2020-03-09,15.7,46.0,18.3
valencia,2020-03-10,15.9,48.3,11.1
valencia,2020-03-11,15.8,65.0,15.7
valencia,2020-03-12,15.1,75.7,14.9
valencia,2020-03-13,14.6,80.2,19.9
