datetime,tempMin,tempMax
2020-01,6.8,17.2
2020-02,10.9,18.5
2020-03,9.1,19.5
2020-04,13.0,21.8
2020-05,16.7,25.1
2020-06,17.9,25.5
2020-07,24.0,28.3
2020-08,21.7,28.2
2020-09,18.9,25.6
2020-10,15.3,23.8
2020-11,11.4,19.2
2020-12,8.9,18.3
2021-01,5.1,20.1
2021-02,11.5,19.0
2021-03,9.5,16.1
2021-04,11.3,18.7
2021-05,15.0,27.1
2021-06,20.1,26.5
2021-07,22.8,29.5
2021-08,23.6,29.1
2021-09,19.6,26.0
2021-10,16.7,23.2
2021-11,9.3,22.8
2021-12,10.4,19.1
2022-01,7.3,16.7
2022-02,10.3,15.7
2022-03,9.8,14.9
2022-04,8.6,19.5
2022-05,14.1,24.9
2022-06,22.4,29.2
2022-07,24.1,29.2
2022-08,24.7,32.7
2022-09,19.8,28.5
2022-10,18.4,22.7
2022-11,9.7,20.8
2022-12,10.3,18.5
2023-01,9.7,9.7
